epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.167,1.26887,1.30377,1.14507,0.91971,0.85886,0.91228,0.59008,1.22128,0.85452,1.12626,0.000665325,0.000665325,0.000665325
2,336.008,1.26045,0.72701,1.13614,0.89931,0.88621,0.90273,0.58429,1.28113,0.92603,1.17011,0.00124408,0.00124408,0.00124408
3,494.996,1.23766,0.6953,1.11803,0.95311,0.91183,0.95188,0.62354,1.2348,0.66245,1.12099,0.00173484,0.00173484,0.00173484
4,653.255,1.21695,0.66772,1.11249,0.97012,0.92366,0.96732,0.65149,1.17589,0.61575,1.0912,0.001604,0.001604,0.001604
5,810.908,1.18364,0.62474,1.09487,0.95377,0.93107,0.97757,0.66655,1.14008,0.59784,1.07356,0.001472,0.001472,0.001472
6,968.233,1.15976,0.57796,1.11149,0.98032,0.92673,0.96658,0.65618,1.16625,0.5813,1.09253,0.00134,0.00134,0.00134
7,1123.42,1.13738,0.5568,1.09792,0.97293,0.94357,0.97139,0.67599,1.11916,0.55791,1.06907,0.001208,0.001208,0.001208
8,1277.95,1.12605,0.53669,1.09186,0.97511,0.94294,0.97417,0.68571,1.11766,0.52733,1.07057,0.001076,0.001076,0.001076
9,1432.52,1.10991,0.50457,1.07888,0.97394,0.94748,0.97838,0.6849,1.09019,0.5042,1.05454,0.000944,0.000944,0.000944
10,1586.67,1.09752,0.48541,1.07239,0.98419,0.95353,0.97942,0.68744,1.08323,0.50413,1.04666,0.000812,0.000812,0.000812
11,1741.86,1.08593,0.47752,1.06549,0.98083,0.95139,0.9784,0.70479,1.0672,0.48128,1.03181,0.00068,0.00068,0.00068
12,1896.46,1.07143,0.45634,1.05516,0.98354,0.96718,0.98275,0.70848,1.04875,0.44954,1.02455,0.000548,0.000548,0.000548
13,2051.95,1.06259,0.44495,1.04849,0.97142,0.96683,0.98674,0.70594,1.06656,0.44267,1.02177,0.000416,0.000416,0.000416
14,2207.08,1.05439,0.42445,1.04746,0.98634,0.96499,0.98783,0.71739,1.04314,0.4263,1.01797,0.000284,0.000284,0.000284
15,2363.06,1.0396,0.41052,1.03942,0.98766,0.96362,0.98528,0.72035,1.03025,0.4192,1.015,0.000152,0.000152,0.000152
